dataset_name,least_count,total_graphs_train_val,total_graphs_test,vocabulary_size,graphs_with_motifs_train_val,graphs_with_motifs_test,node_coverage_train_val,node_coverage_test,motif_length_train,motif_length_test
BBBP,1,1672,187,528,1605,181,0.8350917545877294,0.7591383812010444,3.423037507686001 +- 2.528893219114136,2.9467905405405403 +- 5.740513262410946
BBBP,2,1672,187,361,1596,179,0.7767888394419721,0.7175805047867712,3.1840541094486574 +- 2.371974204707191,2.785472972972973 +- 5.7485149746183035
BBBP,3,1672,187,280,1585,179,0.7371868593429671,0.6903829416884247,3.0217257634761223 +- 2.291135237582443,2.6798986486486487 +- 5.747770350465865
BBBP,4,1672,187,223,1573,179,0.6988849442472124,0.6586161879895561,2.8647263783562207 +- 2.211442278520491,2.5565878378378377 +- 5.721933357577739
BBBP,5,1672,187,194,1569,178,0.6765088254412721,0.6333768494342907,2.773006763681082 +- 2.1700884896528367,2.458614864864865 +- 5.709378678564152
BBBP,6,1672,187,172,1560,176,0.6534076703835192,0.6148825065274152,2.6783152285304364 +- 2.111972722882844,2.386824324324324 +- 5.687773153096085
BBBP,7,1672,187,153,1556,176,0.6324066203310166,0.598781549173194,2.5922320147571223 +- 2.0776513728466646,2.324324324324324 +- 5.701387949990318
BBBP,8,1672,187,133,1551,176,0.6064053202660133,0.5789817232375979,2.485652797704448 +- 1.9510083232363407,2.2474662162162162 +- 5.384943365816102
BBBP,9,1672,187,127,1547,176,0.5998799939996999,0.5739773716275022,2.4589055134248823 +- 1.9463350060618396,2.2280405405405403 +- 5.369585629822958
BBBP,10,1672,187,119,1547,176,0.5883794189709486,0.5657093124456049,2.411764705882353 +- 1.9227545425315113,2.195945945945946 +- 5.3061353700036396
BBBP,15,1672,187,89,1534,176,0.5449522476123806,0.5308964316797214,2.2337569174011067 +- 1.8876184709408217,2.060810810810811 +- 5.27648145536844
BBBP,20,1672,187,69,1526,176,0.5000250012500626,0.49825935596170584,2.0496003279360524 +- 1.80792007010305,1.9341216216216217 +- 5.214723836992803
BBBP,30,1672,187,49,1503,176,0.4454722736136807,0.4556135770234987,1.8259889321582292 +- 1.7694344538145104,1.7685810810810811 +- 5.1432828520268075
esol,0,1014,114,822,1014,82,1.0,0.6875444839857652,4.4124715816823645 +- 3.1815357753740345,3.1061093247588425 +- 5.203876973303094
esol,1,1014,114,200,691,80,0.6418371853378478,0.6056939501779359,2.83208834037025 +- 2.1825802950099455,2.7363344051446945 +- 5.228682606288384
esol,2,1014,114,135,680,79,0.58604445752981,0.5793594306049822,2.5859045144527446 +- 2.068373160894587,2.617363344051447 +- 5.238913068294754
esol,3,1014,114,115,677,79,0.5635212718975416,0.5686832740213523,2.4865215979214033 +- 2.0404138182773406,2.5691318327974275 +- 5.2505150007450405
esol,4,1014,114,95,669,79,0.5246577359046077,0.5508896797153024,2.3150373497888923 +- 1.9611218641389916,2.4887459807073955 +- 5.231313747753839
esol,5,1014,114,78,659,78,0.48895922272928016,0.5266903914590747,2.157518674894446 +- 1.8908833267918472,2.379421221864952 +- 5.233769812960078
esol,6,1014,114,62,652,75,0.44788753128220227,0.46405693950177934,1.9762910035725885 +- 1.792991398986616,2.0964630225080385 +- 5.18949507255731
esol,7,1014,114,57,643,73,0.4293390254673929,0.4412811387900356,1.8944462487820721 +- 1.7257731810165646,1.9935691318327975 +- 4.976430379204127
esol,8,1014,114,49,630,71,0.41167378183424114,0.42491103202846975,1.8164988632672945 +- 1.6961556766729993,1.9196141479099678 +- 4.987613852405794
esol,9,1014,114,43,624,71,0.39643750920064774,0.4220640569395018,1.749269243260799 +- 1.680461616148964,1.9067524115755627 +- 4.996020085542531
esol,10,1014,114,41,624,71,0.3905490946562638,0.4220640569395018,1.7232867814225399 +- 1.6794008798197475,1.9067524115755627 +- 4.996020085542531
esol,15,1014,114,31,610,70,0.36250552038863537,0.400711743772242,1.5995453069178305 +- 1.6955960605226095,1.810289389067524 +- 5.06189836236451
esol,20,1014,114,25,604,70,0.33460915648461653,0.38362989323843416,1.4764533939590776 +- 1.6696290322919778,1.7331189710610932 +- 4.934273689485446
esol,30,1014,114,16,575,67,0.2578389518622111,0.3117437722419929,1.1377070477427735 +- 1.3747987174291996,1.4083601286173633 +- 3.9656209111254865
freesolv,0,577,65,444,577,40,1.0,0.4824961948249619,4.122602168473728 +- 2.564103499599653,2.0993377483443707 +- 3.9046591498267937
freesolv,1,577,65,91,314,39,0.5557353833704228,0.4383561643835616,2.291075896580484 +- 1.8605485300649547,1.9072847682119205 +- 3.9913675592034648
freesolv,2,577,65,55,311,38,0.48533279384988876,0.395738203957382,2.000834028356964 +- 1.7820298942211235,1.7218543046357615 +- 4.135930494381082
freesolv,3,577,65,41,308,36,0.4361723649605503,0.3607305936073059,1.798165137614679 +- 1.663311397607229,1.5695364238410596 +- 4.135231303566835
freesolv,4,577,65,32,295,35,0.3981387821161238,0.3455098934550989,1.6413678065054211 +- 1.550555270297997,1.5033112582781456 +- 3.985344166845979
freesolv,5,577,65,26,295,35,0.370827432733158,0.3455098934550989,1.5287739783152627 +- 1.4540663448764843,1.5033112582781456 +- 3.985344166845979
freesolv,6,577,65,24,294,35,0.36475824398138784,0.3455098934550989,1.5037531276063387 +- 1.461584556755108,1.5033112582781456 +- 3.985344166845979
freesolv,7,577,65,23,294,35,0.3633420999393081,0.3439878234398782,1.4979149291075897 +- 1.4638243424316977,1.4966887417218544 +- 3.992508635023377
freesolv,8,577,65,18,292,35,0.3277361925955897,0.3181126331811263,1.3511259382819016 +- 1.3899602870024317,1.3841059602649006 +- 3.872433154931141
freesolv,9,577,65,15,289,35,0.31317013959134127,0.2998477929984779,1.2910758965804838 +- 1.391508163282841,1.304635761589404 +- 3.902835507646442
freesolv,10,577,65,14,284,35,0.30912401375682785,0.2968036529680365,1.274395329441201 +- 1.3979537777713889,1.2913907284768211 +- 3.9164225816311706
freesolv,15,577,65,13,279,34,0.29860408658709287,0.2907153729071537,1.2310258548790658 +- 1.3892543675000886,1.2649006622516556 +- 3.8697319137950577
freesolv,20,577,65,13,279,34,0.29860408658709287,0.2907153729071537,1.2310258548790658 +- 1.3892543675000886,1.2649006622516556 +- 3.8697319137950577
freesolv,30,577,65,9,251,32,0.22577382156585069,0.2496194824961948,0.9307756463719766 +- 1.278583430415495,1.086092715231788 +- 3.4091997450127147
Lipophilicity,0,3780,420,1952,3780,410,1.0,0.9053354746609564,4.118948935656513 +- 2.9804561507076466,3.729143697170158 +- 7.233671155237439
Lipophilicity,1,3780,420,880,3723,410,0.9077080890973036,0.8697359029264811,3.738803267474146 +- 2.722519894637179,3.5825064314590223 +- 7.196189396518946
Lipophilicity,2,3780,420,609,3714,410,0.8664615084017194,0.8473411848679515,3.5689107078185986 +- 2.628876265094599,3.490260933480338 +- 7.165979040762115
Lipophilicity,3,3780,420,467,3709,409,0.8352774521297381,0.8276231263383298,3.4404651724276687 +- 2.56438240128909,3.4090407938257994 +- 7.131065890914484
Lipophilicity,4,3780,420,396,3704,409,0.8170672137553732,0.8090649536045682,3.365458130457527 +- 2.5392066197237395,3.332598309445057 +- 7.109010279285626
Lipophilicity,5,3780,420,345,3701,409,0.7977725674091442,0.7942541042112776,3.285984467425858 +- 2.4961058220101786,3.2715913267181183 +- 7.079683997703621
Lipophilicity,6,3780,420,298,3691,408,0.777725674091442,0.7760528194147038,3.203412337531689 +- 2.4485169890069387,3.1966188901139287 +- 6.993586750702769
Lipophilicity,7,3780,420,276,3689,407,0.7669206721375538,0.764186295503212,3.1589070862339543 +- 2.4204848012136413,3.1477398015435503 +- 6.944130746728564
Lipophilicity,8,3780,420,251,3682,406,0.7519929660023447,0.7435760171306209,3.097420626936542 +- 2.3781596140280663,3.0628445424476296 +- 6.895784072516079
Lipophilicity,9,3780,420,239,3681,406,0.7462778429073857,0.7375089221984297,3.0738803267474144 +- 2.3692070402014,3.037853730246233 +- 6.8880940935175925
Lipophilicity,10,3780,420,224,3680,406,0.7363130128956624,0.732066381156317,3.0328357007766287 +- 2.3509808227074354,3.015435501653804 +- 6.863443008610654
Lipophilicity,15,3780,420,161,3664,402,0.6840269636576788,0.681745182012848,2.817472133918152 +- 2.254789294804521,2.8081587651598676 +- 6.6897386128966865
Lipophilicity,20,3780,420,137,3654,401,0.6575420085971082,0.6563169164882227,2.7083819564605047 +- 2.191393184120524,2.703417861080485 +- 6.527315101074182
Lipophilicity,30,3780,420,94,3637,397,0.5876416568972255,0.5916309778729479,2.4204659772242567 +- 2.0435211835273352,2.436971701580301 +- 6.109022551946753
