,smiles,BBBP,group
39,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1,training
40,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1,training
41,COC(=O)C(c1ccccc1)C1CCCCN1,1,training
42,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1,training
43,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1,training
44,COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0,valid
45,Cc1ccccc1,1,training
46,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21,1,training
47,CNCCCN1c2ccccc2C(C)(C)c2ccccc21,1,training
48,CC1(C)S[C@@H]2C(NC(=O)[C@H](NC(=O)c3c[nH]c4cccnc4c3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0,training
49,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,1,training
50,Clc1cccc(Cl)c1NC1=NCCN1,1,training
51,C=CCN1C(=O)OC(C)C1=O,1,training
52,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,1,valid
53,CN(C)CCCN1c2ccccc2Sc2cccnc21,1,training
54,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,1,valid
55,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0,training
56,FCC(F)(F)F,1,training
57,Cc1ccc2c(c1)C1CN(C)CCC1N2,1,training
58,O=P(O)(O)OCC(Cl)(Cl)Cl,1,training
59,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,0,training
60,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(Cl)C(Cl)CC3(C)[C@]2(C(=O)CO)O1,1,training
61,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,0,training
62,CN(C)C1C(=O)/C(=C(/O)NCN2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0,training
63,CC(NNC(=O)c1ccccc1)c1ccccc1,1,training
64,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CC[C@@H](O)C1,0,training
65,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,training
66,CCC1(CC)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1,1,training
67,CN1CC[C@]23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1,1,training
68,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)C4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)O[C@H](C)OC(=O)OCC)O1,1,training
69,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C,0,training
70,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,0,training
71,CNCCCN1c2ccccc2CCc2ccccc21,1,test
72,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0,training
73,CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,0,training
74,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,1,training
75,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,training
76,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,0,test
77,CCCCCCC,1,training
78,C[N+](C)(C)CCO,1,test
79,Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O,1,training
80,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,0,training
81,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0,training
82,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,0,training
83,CN1CCN(CC(=O)[C@@]2(O)CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@@]32C)CC1,1,training
84,O=C1CCN=C2CC(c3ccccc3)CN12,1,training
85,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1,training
86,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,1,training
87,CCCC(C)(COC(N)=O)COC(N)=O,1,training
88,CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC,1,training
89,O=C(c1ccc(F)cc1)C1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,training
90,CNCCOC(c1ccccc1)c1ccccc1C,1,training
91,Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,1,training
92,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@](C)(F)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0,training
93,CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1,1,training
94,CC1CN(CCCn2c3ccccc3c3ccccc32)CC(C)N1,1,test
95,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,1,valid
96,CN(C)C(=O)CCNc1ccc(Br)cc1,1,valid
97,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,1,training
98,Cn1c(=O)c2nc[nH]c2n(C)c1=O,1,training
99,CN(C)C1CCc2[nH]c3c(F)cc(F)cc3c2C1,1,training
100,CNCCON=c1c2ccccc2ccc2ccccc12,1,training
101,Cn1nc(-c2cccc(F)c2)n(C)c1=S,1,training
102,CCC12CCN(CC3CCC3)C(Cc3ccc(O)cc31)C2(C)C,1,training
103,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,test
104,CCC(=O)N1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,1,test
105,O=C(O)c1cc(=O)c2ccccc2[nH]1,1,training
106,NC/C(=C/F)CCc1ccc(F)cc1,1,training
107,CC1CC2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1,training
108,CCCC(Cc1ccccc1)N1CCCC1,1,training
109,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0,training
110,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,1,training
111,C#CC(O)(/C=C/Cl)CC,1,training
112,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,1,training
113,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,1,valid
114,O=C(CCCN1CCC(n2c(=S)[nH]c3ccccc32)CC1)c1ccc(F)cc1,1,training
115,CCCCC(CC)CNC(=O)CC(C)O,1,training
116,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,0,training
117,Cc1cc(=O)n(-c2ccccc2)n1C,1,training
118,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2ccccc2[C@H]1CN1CCCC1,1,training
119,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,0,training
120,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,1,training
121,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,1,training
122,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,1,training
123,c1ccc2c(c1)cc1n2CCCNC1,1,training
124,CCC[C@]1(c2cccc(O)c2)CCN(C)C[C@@H]1C,1,valid
125,CC(=O)O[C@H]1C[C@@H]2C(COC(=O)CC(C)C)=CO[C@@H](OC(=O)CC(C)C)[C@@H]2[C@@]12CO2,1,test
126,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1,training
127,CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C,1,training
128,CN(C)CC#CC=C1c2ccccc2C=Cc2ccccc21,1,training
129,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1,training
130,NC(=O)OCCCc1ccccc1,1,training
131,CN(C)CCCn1c(=O)c2ccccc2c2ccccc21,1,training
132,Nc1ncc2ncn(COCCO)c2n1,1,valid
133,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,1,training
134,COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1C,1,training
135,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1,training
136,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,training
137,CN(C)C1=NC(=O)C(c2ccccc2)O1,1,training
138,CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1,1,training
139,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,1,training
140,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,1,test
141,CCOc1ccccc1OCC1CNCCO1,1,training
142,CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O,1,valid
143,C#CC(C)(O)CC,1,training
144,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0,training
145,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,1,training
146,CC(Cc1ccccc1)NN,1,training
147,CCCCCCCCCNc1ncnc2[nH]ccc12,1,training
148,CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1,valid
149,CC(C)(C)NCC(O)c1ccccc1F,1,training
150,COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1Cc1ccc(F)cc1,1,training
151,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,1,training
152,COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2,1,training
153,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,0,training
154,CCn1nnn(CCN2CC[C@H](N(C(=O)COC)c3ccccc3F)[C@H](C)C2)c1=O,1,training
155,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,1,training
156,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,1,training
157,CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1,0,valid
158,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0,training
159,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,1,training
160,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,1,training
161,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0,training
162,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1,test
163,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,1,training
164,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,0,valid
165,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,1,training
166,CC[C@H]1CC(=O)[C@@H]2Oc3c(OC)ccc4c3[C@@]23CCN(CC2CC2)C(C4)[C@H]13,1,training
167,CCC(C(=O)OCCN1CCOC(c2ccccc2)C1C)c1ccccc1,1,training
168,N#Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,1,training
169,S=P(N1CC1)(N1CC1)N1CC1,1,training
170,CCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(OC)ccc5c4C12CCN(CC1CC1)C3C5,1,training
171,Nc1c2c(nc3ccccc13)CCCC2,1,training
172,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1,training
173,CN=C(NC#N)NCCSCc1csc(N=C(N)N)n1,1,training
174,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,1,training
175,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@@H]4O[C@H]5CC(=O)[C@H](C)O[C@H]5O[C@@H]4[C@H](C)O3)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1O[C@H]1C[C@H](N(C)C)[C@H](O)[C@H](C)O1)C(=O)c1cccc(O)c1C3=O,0,training
176,Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2,1,training
177,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,1,training
178,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,1,test
179,CCCCCNCC(N)=O,1,valid
180,CSc1c(Cl)nc(NC(C)C)nc1N1CCN(C)CC1,1,training
181,CCC1(CC)C(=O)NC=C(C)C1=O,1,valid
182,COc1cc(CCN)cc(OC)c1OC,1,training
183,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,1,training
184,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1,training
185,COC(F)(F)C(Cl)Cl,1,training
186,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1,valid
187,Cc1nc2n(c(=O)c1CCN1CCC(C(=O)c3ccc(F)cc3)CC1)CCS2,1,training
188,COc1ccc2c(c1)C(N1CCN(C)CC1)=Cc1ccccc1O2,1,training
189,CCN(CC)C(=O)c1cccnc1,1,training
190,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,1,training
191,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1,training
192,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CCCC1,0,training
193,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,1,valid
194,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,training
195,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CS,1,training
196,CCNCC(O)c1cccc(O)c1,0,training
197,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,1,training
198,CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,training
199,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0,training
200,CC1(C)CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,1,training
201,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21,1,training
202,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1,training
203,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0,valid
204,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1,training
205,CCN[C@H](Cc1ccccc1)[C@H]1CCCO1,1,training
206,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,valid
207,CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1,training
208,O=C(CCCN1CCN(c2cc3ccccc3cn2)CC1)c1ccc(F)cc1,1,training
209,CO[C@@]1(NC(=O)C(C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21,0,training
210,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,0,training
211,CN1/C(=C(/O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,0,training
212,CN(C)[C@@H]1C(=O)/C(=C(/O)NCNC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0,training
213,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)SCF,1,training
214,CNCCCN1Cc2ccccc2Cc2ccccc21,1,valid
215,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0,training
216,CN(C)CCC1(C)OCCC2=C1c1ccccc1C2,1,training
217,O=C1C[C@H]2SC(C3(O)CN4C(=O)C[C@H]4S3)CN12,1,training
218,O=C1CC[C@H]2[C@H]3Cc4cccc(O)c4[C@@]2(CCN3CC2CC2)C1,1,training
219,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1,test
220,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,0,training
221,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0,training
222,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1,training
223,Cc1ncsc1CCCl,1,training
224,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)N(C)C1,0,training
225,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0,training
226,CC[C@H](NC(=O)c1c(Cn2ccnc2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0,training
227,CNCCC=C1c2ccccc2C(C)(C)c2ccccc21,1,training
228,O=C1CN2C(=O)CCC2N1,1,training
229,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,1,test
230,CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,training
231,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0,test
232,CN[C@H](CC(C)C)C(=O)NC1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0,test
233,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,1,training
234,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,0,training
235,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,1,training
236,CC[C@H](NC(=O)c1c(OCCCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0,training
237,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](Cl)C4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@@]21C,1,training
238,CN(C)CCOC1(Cc2ccccc2)CC2CCC1(C)C2(C)C,1,training
239,COc1ccc2c(c1)C(O)(CCCN(C)C)c1ccccc1S2,1,test
240,CCCCOC(=O)C(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,training
241,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,1,training
242,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,1,training
243,Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl,1,test
244,NC1=NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F,1,training
245,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](NC(=O)[C@@H](N)CC(C)C)[C@H](O)[C@H](C)O1,0,test
246,CCc1ccccc1-n1c(C)nc2ccccc2c1=O,1,training
247,COC1=CC(=O)OC1C(O)c1ccccc1Cl,1,training
248,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C,1,training
249,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0,training
250,CC1(C)[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,0,training
251,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1,training
252,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0,training
253,CC12CC3CC(C)(C1)CC(N)(C3)C2,1,valid
254,CN1C(=O)CN2CCc3ccccc3C2c2cc(Cl)ccc21,1,test
255,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,0,training
256,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,1,training
257,CC(Cl)(Cl)Cl,1,training
258,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0,test
